created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2026-05-20T04:35:01+00:00,1,,36,,,,,,
2026-05-20T04:35:52+00:00,2,,,,38,,,,
2026-05-20T04:39:58+00:00,3,,,1,,,,,
2026-05-20T04:44:13+00:00,4,,35,,,,,,
2026-05-20T04:44:42+00:00,5,,,,36,,,,
2026-05-20T04:45:22+00:00,6,,,,36,,,,
2026-05-20T04:45:55+00:00,7,28,,,,,,,
2026-05-20T04:46:52+00:00,8,,,,36,,,,
2026-05-20T04:48:55+00:00,9,29,,,,,,,
2026-05-20T04:51:55+00:00,10,26,,,,,,,
2026-05-20T04:54:55+00:00,11,26,,,,,,,
2026-05-20T04:57:11+00:00,12,,,,36,,,,
2026-05-20T04:57:55+00:00,13,31,,,,,,,
2026-05-20T04:59:07+00:00,14,,,,36,,,,
2026-05-20T05:00:55+00:00,15,24,,,,,,,
2026-05-20T05:01:46+00:00,16,,,,59,,,,
2026-05-20T05:02:58+00:00,17,,,,36,,,,
2026-05-20T05:03:57+00:00,18,26,,,,,,,
2026-05-20T05:04:31+00:00,19,,,,36,,,,
2026-05-20T05:04:48+00:00,20,,,,36,,,,
2026-05-20T05:05:09+00:00,21,,,,36,,,,
2026-05-20T05:05:45+00:00,22,,40,,,,,,
2026-05-20T05:06:55+00:00,23,25,,,,,,,
2026-05-20T05:09:55+00:00,24,29,,,,,,,
2026-05-20T05:10:25+00:00,25,,,,51,,,,
2026-05-20T05:12:13+00:00,26,,,,46,,,,
2026-05-20T05:12:55+00:00,27,24,,,,,,,
2026-05-20T05:15:55+00:00,28,26,,,,,,,
2026-05-20T05:18:55+00:00,29,25,,,,,,,
2026-05-20T05:21:55+00:00,30,28,,,,,,,
2026-05-20T05:24:55+00:00,31,25,,,,,,,
2026-05-20T05:27:55+00:00,32,,55,,,,,,
2026-05-20T05:30:51+00:00,33,,35,,,,,,
2026-05-20T05:31:19+00:00,34,,,,42,,,,
2026-05-20T05:32:22+00:00,35,26,,,,,,,
2026-05-20T05:35:22+00:00,36,28,,,,,,,
